parameter,value,throughput,avg_order_time
num_workers,3,0.24898841770481525,240.975064435054
num_workers,4,0.308550607947721,194.45756532155676
num_workers,5,0.3631000961089687,165.24369077003385
num_workers,6,0.27766087692988956,216.09094037094118
num_workers,7,0.2872656331484819,208.8659173824221
num_workers,8,0.35316242333877856,169.89349952003167
num_workers,9,0.3101995419127894,193.42388331723782
num_workers,10,0.32896473318966846,182.39037181352293
